70.0651,P,288.203,y2,502.2766+2,a9+2,749.3905+2,y12-H2O+2,1108.615,y9-H2O
70.0651,R,288.6550+2,a5-NH3+2,507.2687+2,b9-H2O+2,749.8825+2,y12-NH3+2,1109.599,y9-NH3
72.0808,V,297.1683+2,a5+2,507.7608+2,b9-NH3+2,756.3927+2,a13-NH3+2,1126.6255,y9
74.06,T,301.2234,a3,514.2984,y4,758.3957+2,y12+2,1172.5986,a10-NH3
79.5498+2,y1-NH3+2,302.1605+2,b5-H2O+2,516.2740+2,b9+2,764.9059+2,a13+2,1189.6252,a10
84.0808,K,302.6525+2,b5-NH3+2,554.8111+2,y9-H2O+2,769.8981+2,b13-H2O+2,1199.6095,b10-H2O
86.0964,I,305.1896+2,y5-H2O+2,555.3031+2,y9-NH3+2,770.3901+2,b13-NH3+2,1200.5936,b10-NH3
87.0917,R,305.6816+2,y5-NH3+2,563.8164+2,y9+2,778.9034+2,b13+2,1205.6677,y10-H2O
88.0631+2,y1+2,311.1658+2,b5+2,576.3028,a5-NH3,787.9087+2,b13+H2O+2,1206.6517,y10-NH3
92.0782+2,a2-NH3+2,311.2078,b3-H2O,576.3103+3,y14-H2O+3,795.4512,y6-H2O,1217.6201,b10
100.0869,R,312.1918,b3-NH3,576.6383+3,y14-NH3+3,796.4352,y6-NH3,1223.6783,y10
100.5915+2,a2+2,314.1949+2,y5+2,582.3138+3,y14+3,799.9143+2,y13-H2O+2,1285.6827,a11-NH3
101.1073,K,329.2183,b3,586.8030+2,a10-NH3+2,800.4063+2,y13-NH3+2,1302.7093,a11
102.055,E,337.1814+2,a6-NH3+2,593.3293,a5,802.3981,a7-NH3,1312.6936,b11-H2O
106.0757+2,b2-NH3+2,345.6947+2,a6+2,595.3162+2,a10+2,808.9196+2,y13+2,1313.6776,b11-NH3
112.0869,R,350.6869+2,b6-H2O+2,600.3084+2,b10-H2O+2,812.9347+2,a14-NH3+2,1330.7042,b11
114.5890+2,b2+2,351.1789+2,b6-NH3+2,600.8004+2,b10-NH3+2,813.4618,y6,1334.7103,y11-H2O
126.055,P,359.6921+2,b6+2,603.3137,b5-H2O,819.4247,a7,1335.6943,y11-NH3
126.0913,K,398.2292+2,y6-H2O+2,603.3375+2,y10-H2O+2,821.4480+2,a14+2,1352.7209,y11
129.1022,K,398.7212+2,y6-NH3+2,603.8295+2,y10-NH3+2,826.4401+2,b14-H2O+2,1382.7355,a12-NH3
136.0757,Y,399.235,y3-H2O,604.2977,b5-NH3,826.9322+2,b14-NH3+2,1399.762,a12
136.0919+2,y2-NH3+2,400.2191,y3-NH3,609.3137+2,b10+2,829.409,b7-H2O,1409.7464,b12-H2O
142.6021+2,a3-NH3+2,401.7027+2,a7-NH3+2,609.3331+3,MH-H2O+3,830.3931,b7-NH3,1410.7304,b12-NH3
144.6051+2,y2+2,407.2345+2,y6+2,609.3719,y5-H2O,835.4454+2,b14+2,1427.7569,b12
151.1153+2,a3+2,410.2160+2,a7+2,609.6611+3,MH-NH3+3,844.4507+2,b14+H2O+2,1497.7736,y12-H2O
156.1075+2,b3-H2O+2,415.2082+2,b7-H2O+2,610.3559,y5-NH3,847.4196,b7,1498.7577,y12-NH3
156.5995+2,b3-NH3+2,415.7002+2,b7-NH3+2,612.3428+2,y10+2,863.9618+2,y14-H2O+2,1511.7781,a13-NH3
158.0924,y1-NH3,417.2456,y3,615.3366+3,MH+3,864.4538+2,y14-NH3+2,1515.7842,y12
159.0917,W,424.2134+2,b7+2,621.3243,b5,872.9671+2,y14+2,1528.8046,a13
165.1128+2,b3+2,437.2213+2,a8-NH3+2,627.3824,y5,873.4353,a8-NH3,1538.789,b13-H2O
175.119,y1,445.7345+2,a8+2,643.3450+2,a11-NH3+2,890.4618,a8,1539.773,b13-NH3
183.1492,a2-NH3,447.2602,a4-NH3,651.8583+2,a11+2,900.4462,b8-H2O,1556.7995,b13
200.1212+2,y3-H2O+2,450.7267+2,b8-H2O+2,656.8504+2,b11-H2O+2,901.4302,b8-NH3,1574.8101,b13+H2O
200.1757,a2,451.2187+2,b8-NH3+2,657.3424+2,b11-NH3+2,908.5352,y7-H2O,1598.8213,y13-H2O
200.6132+2,y3-NH3+2,454.7713+2,y7-H2O+2,665.8557+2,b11+2,909.5193,y7-NH3,1599.8053,y13-NH3
209.1264+2,y3+2,455.2633+2,y7-NH3+2,667.8588+2,y11-H2O+2,913.4960+2,MH-H2O+2,1616.8319,y13
211.1441,b2-NH3,459.7320+2,b8+2,668.3508+2,y11-NH3+2,913.9880+2,MH-NH3+2,1624.8621,a14-NH3
224.1337+2,a4-NH3+2,463.7765+2,y7+2,673.3556,a6-NH3,918.4567,b8,1641.8887,a14
228.1707,b2,464.2867,a4,676.8641+2,y11+2,922.5013+2,MH+2,1651.873,b14-H2O
232.6470+2,a4+2,474.2711,b4-H2O,690.3821,a6,926.5458,y7,1652.857,b14-NH3
237.6392+2,b4-H2O+2,475.2551,b4-NH3,691.8714+2,a12-NH3+2,979.5724,y8-H2O,1669.8836,b14
238.1312+2,b4-NH3+2,490.2898+2,y8-H2O+2,700.3665,b6-H2O,980.5564,y8-NH3,1687.8942,b14+H2O
246.6445+2,b4+2,490.7818+2,y8-NH3+2,700.3846+2,a12+2,986.5193,a9-NH3,1726.9163,y14-H2O
248.6475+2,y4-H2O+2,492.2817,b4,701.3505,b6-NH3,997.5829,y8,1727.9003,y14-NH3
249.1396+2,y4-NH3+2,493.7633+2,a9-NH3+2,705.3768+2,b12-H2O+2,1003.5459,a9,1744.9268,y14
257.6528+2,y4+2,496.2878,y4-H2O,705.8688+2,b12-NH3+2,1013.5302,b9-H2O,1825.9847,MH-H2O
271.1765,y2-NH3,497.2718,y4-NH3,714.3821+2,b12+2,1014.5142,b9-NH3,1826.9687,MH-NH3
284.1969,a3-NH3,499.2951+2,y8+2,718.377,b6,1031.5408,b9,1843.9953,MH